Reactor Name,Reactor Status,Country,Reactor Type,Model,Owner,Operator,Reference Unit Power (Net Capacity) [MWe],Design Net Capacity [MWe],Gross Capacity [MWe],Thermal Capacity [MWt],Construction Start Date,First Criticality Date,Construction Suspended Date,Construction Restart Date,First Grid Connection,Commercial Operation Date,Suspended Operation Date,End of Suspended Operation Date,Permanent Shutdown Date,Thermal Efficiency [%],Energy Efficiency [%],Years Connected
TRICASTIN-2,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,915,955,2785,1974-12-01,1980-07-22,,,1980-08-07,1980-12-01,,,,32.85,32.85,0
TRICASTIN-3,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,915,955,2785,1975-04-01,1980-11-29,,,1981-02-10,1981-05-11,,,,32.85,32.85,0
TRICASTIN-4,Operational,France,PWR,CP1,ÉLECTRICITÉ DE FRANCE,ÉLECTRICITÉ DE FRANCE,915,915,955,2785,1975-05-01,1981-05-31,,,1981-06-12,1981-11-01,,,,32.85,32.85,0
AVR JUELICH,Permanent Shutdown,Germany,HTGR,Pebble bed reactor prototype,ARBEITSGEMEINSCHAFT VERSUCHSREAKTOR GMBH,ARBEITSGEMEINSCHAFT VERSUCHSREAKTOR GMBH,13,13,15,46,1961-08-01,1966-08-16,,,1967-12-17,1969-05-19,,,1988-12-31,28.26,28.26,0
BIBLIS-A,Permanent Shutdown,Germany,PWR,PWR,RWE Power AG,RWE Power AG,1167,1146,1225,3517,1970-01-01,1974-07-16,,,1974-08-25,1975-02-26,,,2011-08-06,33.18,32.58,0
BIBLIS-B,Permanent Shutdown,Germany,PWR,PWR,RWE Power AG,RWE Power AG,1240,1178,1300,3733,1972-02-01,1976-03-25,,,1976-04-25,1977-01-31,,,2011-08-06,33.22,31.56,0
BROKDORF,Permanent Shutdown,Germany,PWR,PWR,"1. (80%) PreussenElektra GmbH
2. (20%) Vattenfall GmbH",PreussenElektra GmbH,1410,1307,1480,3900,1976-01-01,1986-10-08,,,1986-10-14,1986-12-22,,,2021-12-31,36.15,33.51,0
BRUNSBUETTEL,Permanent Shutdown,Germany,BWR,BWR-69,"1. (66,6%) Vattenfall Europe Nuclear Energy GmbH
2. (33,3%) E.ON Kernkraft GmbH",Kernkraftwerk Brunsbüttel GmbH & Co. oHG,771,770,806,2292,1970-04-15,1976-06-23,,,1976-07-13,1977-02-09,,,2011-08-06,33.64,33.6,0
EMSLAND,Permanent Shutdown,Germany,PWR,Konvoi,"1. (75%) RWE Power AG
2. (25%) PreussenElektra GmbH",Kernkraftwerke Lippe-Ems GmbH,1335,1242,1406,3850,1982-08-10,1988-04-14,,,1988-04-19,1988-06-20,,,2023-04-15,34.68,32.26,0
GRAFENRHEINFELD,Permanent Shutdown,Germany,PWR,PWR,E.ON Kernkraft GmbH,E.ON Kernkraft GmbH,1275,1225,1345,3765,1975-01-01,1981-12-09,,,1981-12-30,1982-06-17,,,2015-06-27,33.86,32.54,0
GREIFSWALD-1,Permanent Shutdown,Germany,PWR,VVER V-230,ENERGIEWERKE Nord GmbH,ENERGIEWERKE Nord GmbH,408,440,440,1375,1970-03-01,1973-12-15,,,1973-12-17,1974-07-12,,,1990-12-18,29.67,32.0,0
GREIFSWALD-2,Permanent Shutdown,Germany,PWR,VVER V-230,ENERGIEWERKE Nord GmbH,ENERGIEWERKE Nord GmbH,408,408,440,1375,1970-03-01,1974-12-03,,,1974-12-23,1975-04-16,,,1990-02-14,29.67,29.67,0
GREIFSWALD-3,Permanent Shutdown,Germany,PWR,VVER V-230,ENERGIEWERKE Nord GmbH,ENERGIEWERKE Nord GmbH,408,408,440,1375,1972-04-01,1977-10-16,,,1977-10-24,1978-05-01,,,1990-02-28,29.67,29.67,0
GREIFSWALD-4,Permanent Shutdown,Germany,PWR,VVER V-230,ENERGIEWERKE Nord GmbH,ENERGIEWERKE Nord GmbH,408,408,440,1375,1972-04-01,1979-07-22,,,1979-09-03,1979-11-01,,,1990-06-02,29.67,29.67,0
GREIFSWALD-5,Permanent Shutdown,Germany,PWR,VVER V-213,"VEB KKW ""Bruno Leuschner""",ENERGIEWERKE Nord GmbH,408,408,440,1375,1976-12-01,1989-03-26,,,1989-04-24,1989-11-01,,,1989-11-24,29.67,29.67,0
GROHNDE,Permanent Shutdown,Germany,PWR,PWR,"1. (83,3%) PreussenElektra GmbH
2. (16,7%) Stadtwerke Bielefeld",PreussenElektra GmbH,1360,1289,1430,3900,1976-06-01,1984-09-01,,,1984-09-05,1985-02-01,,,2021-12-31,34.87,33.05,0
GUNDREMMINGEN-A,Permanent Shutdown,Germany,BWR,BWR-1,RWE Power AG,KERNKRAFTWERKE GUNDREMMINGEN BETRIEBSGESELLSCHAFT MBH,237,237,250,801,1962-12-12,1966-08-14,,,1966-12-01,1967-04-12,,,1977-01-13,29.59,29.59,0
GUNDREMMINGEN-B,Permanent Shutdown,Germany,BWR,BWR-72,"1. (75%) RWE Power AG
2. (25%) E.ON Kernkraft GmbH",Kernkraftwerk Gundremmingen GmbH,1284,1244,1344,3840,1976-07-20,1984-03-09,,,1984-03-16,1984-07-19,,,2017-12-31,33.44,32.4,0
GUNDREMMINGEN-C,Permanent Shutdown,Germany,BWR,BWR-72,"1. (75%) RWE Power AG
2. (25%) PreussenElektra GmbH",Kernkraftwerk Gundremmingen GmbH,1288,1249,1344,3840,1976-07-20,1984-10-26,,,1984-11-02,1985-01-18,,,2021-12-31,33.54,32.53,0
HDR GROSSWELZHEIM,Decommissioning Completed,Germany,BWR,Superheated steam reactor,HEISSDAMPFREAKTOR-BETRIEBSGESELLSCHAFT MBH.,HEISSDAMPFREAKTOR-BETRIEBSGESELLSCHAFT MBH.,25,23,27,100,1965-01-01,N/A,,,N/A,N/A,,,1971-07-20,25.0,23.0,0
ISAR-1,Permanent Shutdown,Germany,BWR,BWR-69,E.ON Kernkraft GmbH,E.ON Kernkraft GmbH,878,870,912,2575,1972-05-01,1977-11-20,,,1977-12-03,1979-03-21,,,2011-08-06,34.1,33.79,0
ISAR-2,Permanent Shutdown,Germany,PWR,Konvoi,"1. (75%) PreussenElektra GmbH
2. (25%) Stadtwerke München",PreussenElektra GmbH,1410,1285,1485,3950,1982-09-15,1988-01-15,,,1988-01-22,1988-04-09,,,2023-04-15,35.7,32.53,0
KNK II,Permanent Shutdown,Germany,FBR,Prototype,"Karlsruher Institut für Technologie
(Kernforschungszentrum Karlsruhe -KfK)",KERNKRAFTWERK-BETRIEBSGESELLSCHAFT MBH,17,18,21,58,1974-09-01,1977-10-10,,,1978-04-09,1979-03-03,,,1991-08-23,29.31,31.03,0
KRUEMMEL,Permanent Shutdown,Germany,BWR,BWR-69,"1. (50%) Vattenfall Europe Nuclear Energy GmbH
2. (50%) E.ON Kernkraft GmbH",Kernkraftwerk Krümmel GmbH & Co. oHG,1346,1260,1402,3690,1974-04-05,1983-09-14,,,1983-09-28,1984-03-28,,,2011-08-06,36.48,34.15,0
LINGEN,Permanent Shutdown,Germany,BWR,BWR with fossil fuel-fired superheater,RWE Nuclear GmbH,Kernkraftwerk Lingen GmbH,183,240,268,520,1964-10-01,1968-01-31,,,1968-07-01,1968-10-01,,,1977-01-05,35.19,46.15,0
MUELHEIM-KAERLICH,Permanent Shutdown,Germany,PWR,PWR,SCN,Kernkraftwerk Gundremmingen GmbH,1219,1219,1302,3760,1975-01-15,1986-03-01,,,1986-03-14,1987-08-18,,,1988-09-09,32.42,32.42,0
MZFR,Permanent Shutdown,Germany,PHWR,-,Kerntechnische Entsorgung Karlsruhe GmbH,KERNKRAFTWERK-BETRIEBSGESELLSCHAFT MBH,52,50,57,200,1961-12-01,1965-09-29,,,1966-03-09,1966-12-19,,,1984-05-03,26.0,25.0,0
NECKARWESTHEIM-1,Permanent Shutdown,Germany,PWR,PWR,"1. (98.45%) EnBW
2. (1.55%) four other owners",EnBW Kernkraft GmbH,785,805,840,2497,1972-02-01,1976-05-26,,,1976-06-03,1976-12-01,,,2011-08-06,31.44,32.24,0
NECKARWESTHEIM-2,Permanent Shutdown,Germany,PWR,Konvoi,EnBW Kernkraft GmbH,EnBW Kernkraft GmbH,1310,1225,1400,3850,1982-11-09,1988-12-29,,,1989-01-03,1989-04-15,,,2023-04-15,34.03,31.82,0
NIEDERAICHBACH,Decommissioning Completed,Germany,HWGCR,pressure tube reactor,"Karlsruher Institut für Technologie
(Kernforschungszentrum Karlsruhe -KfK)",KERNKRAFTWERK NIEDERAICHBACH GMBH,100,100,106,321,1966-06-01,N/A,,,N/A,N/A,,,1974-07-31,31.15,31.15,0
OBRIGHEIM,Permanent Shutdown,Germany,PWR,PWR,KERNKRAFTWERK OBRIGHEIM GMBH,EnBW Kraftwerke AG,340,283,357,1050,1965-03-15,1968-09-22,,,1968-10-29,1969-03-31,,,2005-05-11,32.38,26.95,0
PHILIPPSBURG-1,Permanent Shutdown,Germany,BWR,BWR-69,EnBW Kraftwerke AG,EnBW Kernkraft GmbH,890,864,926,2575,1970-10-01,1979-03-09,,,1979-05-05,1980-03-26,,,2011-08-06,34.56,33.55,0
PHILIPPSBURG-2,Permanent Shutdown,Germany,PWR,PWR,EnBW Kernkraft GmbH,EnBW Kernkraft GmbH,1402,1268,1468,3950,1977-07-07,1984-12-13,,,1984-12-17,1985-04-18,,,2019-12-31,35.49,32.1,0
RHEINSBERG,Permanent Shutdown,Germany,PWR,VVER-70,ENERGIEWERKE Nord GmbH,ENERGIEWERKE Nord GmbH,62,62,70,265,1960-01-01,1966-03-01,,,1966-05-06,1966-10-11,,,1990-06-01,23.4,23.4,0
STADE,Permanent Shutdown,Germany,PWR,PWR,KERNKRAFTWERK STADE GMBH,E.ON Kernkraft GmbH,640,630,672,1900,1967-12-01,1972-01-08,,,1972-01-29,1972-05-19,,,2003-11-14,33.68,33.16,0
THTR-300,Permanent Shutdown,Germany,HTGR,Pebble bed reactor,HOCHTEMPERATUR-KERNKRAFTWERK GMBH,HOCHTEMPERATUR-KERNKRAFTWERK GMBH,296,296,308,760,1971-05-03,1983-09-13,,,1985-11-16,1987-06-01,,,1988-09-29,38.95,38.95,0
UNTERWESER,Permanent Shutdown,Germany,PWR,PWR,E.ON Kernkraft GmbH,E.ON Kernkraft GmbH,1345,1230,1410,3900,1972-07-01,1978-09-16,,,1978-09-29,1979-09-06,,,2011-08-06,34.49,31.54,0
VAK KAHL,Decommissioning Completed,Germany,BWR,BWR,VERSUCHSATOMKRAFTWERK KAHL GMBH,VERSUCHSATOMKRAFTWERK KAHL GMBH,15,15,16,60,1958-07-01,N/A,,,N/A,N/A,,,1985-11-25,25.0,25.0,0
WUERGASSEN,Permanent Shutdown,Germany,BWR,BWR,PREUSSENELEKTRA KERNKRAFT GMBH&Co KG,PREUSSENELEKTRA KERNKRAFT GMBH&Co KG,640,640,670,1912,1968-01-26,1971-10-20,,,1971-12-18,1975-11-11,,,1994-08-26,33.47,33.47,0
PAKS-1,Operational,Hungary,PWR,VVER V-213,HUNGARIAN POWER COMPANIES LTD.,"PAKS NUCLEAR POWER PLANT, LTD.",479,408,509,1485,1974-08-01,1982-12-14,,,1982-12-28,1983-08-10,,,,32.26,27.47,0
PAKS-2,Operational,Hungary,PWR,VVER V-213,HUNGARIAN POWER COMPANIES LTD.,"PAKS NUCLEAR POWER PLANT, LTD.",479,410,506,1485,1974-08-01,1984-08-26,,,1984-09-06,1984-11-14,,,,32.26,27.61,0
PAKS-3,Operational,Hungary,PWR,VVER V-213,HUNGARIAN POWER COMPANIES LTD.,"PAKS NUCLEAR POWER PLANT, LTD.",479,410,506,1485,1979-10-01,1986-09-15,,,1986-09-28,1986-12-01,,,,32.26,27.61,0
PAKS-4,Operational,Hungary,PWR,VVER V-213,HUNGARIAN POWER COMPANIES LTD.,"PAKS NUCLEAR POWER PLANT, LTD.",479,410,506,1485,1979-10-01,1987-08-09,,,1987-08-16,1987-11-01,,,,32.26,27.61,0
KAIGA-1,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1989-09-01,2000-09-26,,,2000-10-12,2000-11-16,,,,25.22,25.22,0
KAIGA-2,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1989-12-01,1999-09-24,,,1999-12-02,2000-03-16,,,,25.22,25.22,0
KAIGA-3,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,800,2002-03-30,2007-02-26,,,2007-04-11,2007-05-06,,,,25.25,25.25,0
KAIGA-4,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,800,2002-05-10,2010-11-27,,,2011-01-19,2011-01-20,,,,25.25,25.25,0
KAKRAPAR-1,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1984-12-01,1992-09-03,,,1992-11-24,1993-05-06,,,,25.22,25.22,0
KAKRAPAR-2,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1985-04-01,1995-01-08,,,1995-03-04,1995-09-01,,,,25.22,25.22,0
KAKRAPAR-3,Operational,India,PHWR,PHWR-700,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",630,630,700,2166,2010-11-22,2020-07-22,,,2021-01-10,2023-06-30,,,,29.09,29.09,0
KAKRAPAR-4,Operational,India,PHWR,PHWR-700,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",630,630,700,2166,2010-11-22,2023-12-17,,,2024-02-20,2024-03-31,,,,29.09,29.09,0
KUDANKULAM-1,Operational,India,PWR,VVER V-412,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",932,917,1000,3000,2002-03-31,2013-07-13,,,2013-10-22,2014-12-31,,,,31.07,30.57,0
KUDANKULAM-2,Operational,India,PWR,VVER V-412,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",932,917,1000,3000,2002-07-04,2016-07-10,,,2016-08-29,2017-03-31,,,,31.07,30.57,0
KUDANKULAM-3,Under Construction,India,PWR,VVER V-412,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",917,917,1000,3000,2017-06-29,N/A,,,N/A,N/A,,,,30.57,30.57,0
KUDANKULAM-4,Under Construction,India,PWR,VVER V-412,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",917,917,1000,3000,2017-10-23,N/A,,,N/A,N/A,,,,30.57,30.57,0
KUDANKULAM-5,Under Construction,India,PWR,VVERV412,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",917,917,1000,3000,2021-06-29,N/A,,,N/A,N/A,,,,30.57,30.57,0
KUDANKULAM-6,Under Construction,India,PWR,VVERV412,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",917,917,1000,3000,2021-12-20,N/A,,,N/A,N/A,,,,30.57,30.57,0
MADRAS-1,Suspended Operation,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",205,202,220,801,1971-01-01,1983-07-02,,,1983-07-23,1984-01-27,2018-01-30,,,25.59,25.22,0
MADRAS-2,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",205,202,220,801,1972-10-01,1985-08-12,,,1985-09-20,1986-03-21,,,,25.59,25.22,0
NARORA-1,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1976-12-01,1989-03-12,,,1989-07-29,1991-01-01,,,,25.22,25.22,0
NARORA-2,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1977-11-01,1991-10-24,,,1992-01-05,1992-07-01,,,,25.22,25.22,0
PFBR,Under Construction,India,FBR,Prototype,Bharatiya Nabhikiya Vidyut Nigam Limited,Bharatiya Nabhikiya Vidyut Nigam Limited,470,470,500,1253,2004-10-23,N/A,,,N/A,N/A,,,,37.51,37.51,0
RAJASTHAN-1,Suspended Operation,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",134,207,100,346,1965-08-01,1972-08-11,,,1972-11-30,1973-12-16,2004-10-09,,,38.73,59.83,0
RAJASTHAN-2,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",187,207,200,693,1968-04-01,1980-10-08,,,1980-11-01,1981-04-01,,,,26.98,29.87,0
RAJASTHAN-3,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1990-02-01,1999-12-24,,,2000-03-10,2000-06-01,,,,25.22,25.22,0
RAJASTHAN-4,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,1990-10-01,2000-11-03,,,2000-11-17,2000-12-23,,,,25.22,25.22,0
RAJASTHAN-5,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,2002-09-18,2009-11-24,,,2009-12-22,2010-02-04,,,,25.22,25.22,0
RAJASTHAN-6,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",202,202,220,801,2003-01-20,2010-01-23,,,2010-03-28,2010-03-31,,,,25.22,25.22,0
RAJASTHAN-7,Operational,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",630,630,700,2177,2011-07-18,2024-09-19,,,2025-03-17,2025-04-15,,,,28.94,28.94,0
RAJASTHAN-8,Under Construction,India,PHWR,Horizontal Pressure Tube type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",630,630,700,2177,2011-09-30,N/A,,,N/A,N/A,,,,28.94,28.94,0
TARAPUR-1,Suspended Operation,India,BWR,BWR-1 (Mark 2),"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",150,200,160,530,1964-10-01,1969-02-01,,,1969-04-01,1969-10-28,2020-01-18,,,28.3,37.74,0
TARAPUR-2,Suspended Operation,India,BWR,BWR-1 (Mark 2),"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",150,200,160,530,1964-10-01,1969-02-28,,,1969-05-05,1969-10-28,2020-07-13,,,28.3,37.74,0
TARAPUR-3,Operational,India,PHWR,Horizontal Pressure Tube Type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",490,502,540,1730,2000-05-12,2006-05-21,,,2006-06-15,2006-08-18,,,,28.32,29.02,0
TARAPUR-4,Operational,India,PHWR,Horizontal Pressure Tube Type,"NUCLEAR POWER CORPORATION OF INDIA, LTD.","NUCLEAR POWER CORPORATION OF INDIA, LTD.",490,502,540,1730,2000-03-08,2005-03-06,,,2005-06-04,2005-09-12,,,,28.32,29.02,0
BUSHEHR-1,Operational,"Iran, Islamic Republic of",PWR,VVER V-446,Nuclear Power Production and Development Co. of Iran,Nuclear Power Production and Development Co. of Iran,915,915,1000,3000,1975-05-01,2011-05-08,1978-01-01,1996-01-01,2011-09-03,2013-09-23,,,,30.5,30.5,0
BUSHEHR-2,Under Construction,"Iran, Islamic Republic of",PWR,V-528 VVER-1000 AES-92 GIII+,Nuclear Power Production and Development Co. of Iran,Nuclear Power Production and Development Co. of Iran,974,974,1057,3012,2019-09-27,N/A,,,N/A,N/A,,,,32.34,32.34,0
CAORSO,Permanent Shutdown,Italy,BWR,BWR-4 (Mark 2),Societa Gestione Impanti Nucleari S.p.a.,Societa Gestione Impanti Nucleari S.p.a.,860,840,882,2651,1970-01-01,1977-12-31,,,1978-05-23,1981-12-01,,,1990-07-01,32.44,31.69,0
ENRICO FERMI,Permanent Shutdown,Italy,PWR,WH 4LP,Societa Gestione Impanti Nucleari S.p.a.,Societa Gestione Impanti Nucleari S.p.a.,260,247,270,870,1961-07-01,1964-06-21,,,1964-10-22,1965-01-01,,,1990-07-01,29.89,28.39,0
GARIGLIANO,Permanent Shutdown,Italy,BWR,BWR-1,Societa Gestione Impanti Nucleari S.p.a.,Societa Gestione Impanti Nucleari S.p.a.,150,150,160,506,1959-11-01,1963-06-05,,,1964-01-01,1964-06-01,,,1982-03-01,29.64,29.64,0
LATINA,Permanent Shutdown,Italy,GCR,MAGNOX,Societa Gestione Impanti Nucleari S.p.a.,Societa Gestione Impanti Nucleari S.p.a.,153,200,160,660,1958-11-01,1962-12-27,,,1963-05-12,1964-01-01,,,1987-12-01,23.18,30.3,0
FUGEN ATR,Permanent Shutdown,Japan,HWLWR,ATR,JAPAN ATOMIC ENERGY AGENCY,JAPAN ATOMIC ENERGY AGENCY,148,148,165,557,1972-05-10,1978-03-20,,,1978-07-29,1979-03-20,,,2003-03-29,26.57,26.57,0
FUKUSHIMA-DAIICHI-1,Permanent Shutdown,Japan,BWR,BWR-3,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",439,439,460,1380,1967-07-25,1970-10-10,,,1970-11-17,1971-03-26,,,2011-05-19,31.81,31.81,0
FUKUSHIMA-DAIICHI-2,Permanent Shutdown,Japan,BWR,BWR-4,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",760,760,784,2381,1969-06-09,1973-05-10,,,1973-12-24,1974-07-18,,,2011-05-19,31.92,31.92,0
FUKUSHIMA-DAIICHI-3,Permanent Shutdown,Japan,BWR,BWR-4,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",760,760,784,2381,1970-12-28,1974-09-06,,,1974-10-26,1976-03-27,,,2011-05-19,31.92,31.92,0
FUKUSHIMA-DAIICHI-4,Permanent Shutdown,Japan,BWR,BWR-4,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",760,760,784,2381,1973-02-12,1978-01-28,,,1978-02-24,1978-10-12,,,2011-05-19,31.92,31.92,0
FUKUSHIMA-DAIICHI-5,Permanent Shutdown,Japan,BWR,BWR-4,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",760,760,784,2381,1972-05-22,1977-08-26,,,1977-09-22,1978-04-18,,,2013-12-17,31.92,31.92,0
FUKUSHIMA-DAIICHI-6,Permanent Shutdown,Japan,BWR,BWR-5,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",1067,1067,1100,3293,1973-10-26,1979-03-09,,,1979-05-04,1979-10-24,,,2013-12-17,32.4,32.4,0
FUKUSHIMA-DAINI-1,Permanent Shutdown,Japan,BWR,BWR-5,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",1067,1067,1100,3293,1976-03-16,1981-06-17,,,1981-07-31,1982-04-20,,,2019-09-30,32.4,32.4,0
FUKUSHIMA-DAINI-2,Permanent Shutdown,Japan,BWR,BWR-5,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",1067,1067,1100,3293,1979-05-25,1983-04-26,,,1983-06-23,1984-02-03,,,2019-09-30,32.4,32.4,0
FUKUSHIMA-DAINI-3,Permanent Shutdown,Japan,BWR,BWR-5,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",1067,1067,1100,3293,1981-03-23,1984-10-18,,,1984-12-14,1985-06-21,,,2019-09-30,32.4,32.4,0
FUKUSHIMA-DAINI-4,Permanent Shutdown,Japan,BWR,BWR-5,"Tokyo Electric Power Company Holdings, Inc.","Tokyo Electric Power Company Holdings, Inc.",1067,1067,1100,3293,1981-05-28,1986-10-24,,,1986-12-17,1987-08-25,,,2019-09-30,32.4,32.4,0
GENKAI-1,Permanent Shutdown,Japan,PWR,M (2-loop),"Kyushu Electric Power Co., Inc.","Kyushu Electric Power Co., Inc.",529,529,559,1650,1971-09-15,1975-01-28,,,1975-02-14,1975-10-15,,,2015-04-27,32.06,32.06,0
GENKAI-2,Permanent Shutdown,Japan,PWR,M (2-loop),"Kyushu Electric Power Co., Inc.","Kyushu Electric Power Co., Inc.",529,529,559,1650,1977-02-01,1980-05-21,,,1980-06-03,1981-03-30,,,2019-04-09,32.06,32.06,0
GENKAI-3,Operational,Japan,PWR,M (4-loop),"Kyushu Electric Power Co., Inc.","Kyushu Electric Power Co., Inc.",1127,1127,1180,3423,1988-06-01,1993-05-28,,,1993-06-15,1994-03-18,,,,32.92,32.92,0
GENKAI-4,Operational,Japan,PWR,M (4-loop),"Kyushu Electric Power Co., Inc.","Kyushu Electric Power Co., Inc.",1127,1127,1180,3423,1992-07-15,1996-10-23,,,1996-11-12,1997-07-25,,,,32.92,32.92,0
HAMAOKA-1,Permanent Shutdown,Japan,BWR,BWR-4,"CHUBU ELECTRIC POWER CO., INC.","CHUBU ELECTRIC POWER CO., INC.",515,516,540,1593,1971-06-10,1974-06-20,,,1974-08-13,1976-03-17,,,2009-01-30,32.33,32.39,0
HAMAOKA-2,Permanent Shutdown,Japan,BWR,BWR-4,"CHUBU ELECTRIC POWER CO., INC.","CHUBU ELECTRIC POWER CO., INC.",806,814,840,2436,1974-06-14,1978-03-28,,,1978-05-04,1978-11-29,,,2009-01-30,33.09,33.42,0
HAMAOKA-3,Suspended Operation,Japan,BWR,BWR-5,"CHUBU ELECTRIC POWER CO., INC.","CHUBU ELECTRIC POWER CO., INC.",1056,1056,1100,3293,1983-04-18,1986-11-21,,,1987-01-20,1987-08-28,2010-11-29,,,32.07,32.07,0
HAMAOKA-4,Suspended Operation,Japan,BWR,BWR-5,"CHUBU ELECTRIC POWER CO., INC.","CHUBU ELECTRIC POWER CO., INC.",1092,1092,1137,3293,1989-10-13,1992-12-02,,,1993-01-27,1993-09-03,2011-05-13,,,33.16,33.16,0
